station_id,station,lines,local_authority,fare_zone,opened_on,annual_usage,area_served,url
188,Rayners Lane,MP,Harrow,5,26 May 1906,3.04,Rayners Lane,https://www.google.com/maps?q=Rayners+Lane+Underground+station
189,Redbridge,C,Redbridge,4,14 Dec 1947,2.04,Redbridge,https://www.google.com/maps?q=Redbridge+Underground+station
190,Regent's Park,B,City of Westminster,1,10 Mar 1906,2.15,Marylebone,https://www.google.com/maps?q=Regent's+Park+Underground+station
191,Richmond,D,Richmond,4,1 Jun 1877,3.74,Richmond,https://www.google.com/maps?q=Richmond+Underground+station
192,Rickmansworth,M,Three Rivers,7,1 Sep 1887,1.77,Rickmansworth,https://www.google.com/maps?q=Rickmansworth+Underground+station
193,Roding Valley,C,Epping Forest Redbridge,4,21 Nov 1948,0.26,Buckhurst Hill,https://www.google.com/maps?q=Roding+Valley+Underground+station
194,Royal Oak,OH,City of Westminster,2,30 Oct 1871,1.98,Westbourne,https://www.google.com/maps?q=Royal+Oak+Underground+station
195,Ruislip,MP,Hillingdon,6,4 Jul 1904,1.37,Ruislip,https://www.google.com/maps?q=Ruislip+Underground+station
196,Ruislip Gardens,C,Hillingdon,5,29 Nov 1948,0.77,Ruislip,https://www.google.com/maps?q=Ruislip+Gardens+Underground+station
197,Ruislip Manor,MP,Hillingdon,6,5 Aug 1912,1.35,Ruislip,https://www.google.com/maps?q=Ruislip+Manor+Underground+station
198,Russell Square,P,Camden,1,15 Dec 1906,8.59,Bloomsbury,https://www.google.com/maps?q=Russell+Square+Underground+station
199,St James's Park,OD,City of Westminster,1,24 Dec 1868,8.54,St James's,https://www.google.com/maps?q=St+James's+Park+Underground+station
200,St John's Wood,J,City of Westminster,2,20 Nov 1939,5.63,St John's Wood,https://www.google.com/maps?q=St+John's+Wood+Underground+station
201,St Paul's,C,City of London,1,30 Jul 1900,9.13,Smithfield,https://www.google.com/maps?q=St+Paul's+Underground+station
202,Seven Sisters,V,Haringey,3,1 Sep 1968,16.72,Seven Sisters,https://www.google.com/maps?q=Seven+Sisters+Underground+station
203,Shepherd's Bush,C,Hammersmith and Fulham,2,30 Jul 1900,13.13,Shepherd's Bush,https://www.google.com/maps?q=Shepherd's+Bush+Underground+station
204,Shepherd's Bush Market,OH,Hammersmith and Fulham,2,13 Jun 1864,2.89,Shepherd's Bush,https://www.google.com/maps?q=Shepherd's+Bush+Market+Underground+station
205,Sloane Square,OD,Kensington and Chelsea,1,24 Dec 1868,12.77,Chelsea,https://www.google.com/maps?q=Sloane+Square+Underground+station
206,Snaresbrook,C,Redbridge,4,14 Dec 1947,1.67,Snaresbrook,https://www.google.com/maps?q=Snaresbrook+Underground+station
207,South Ealing,P,Ealing,3,1 May 1883,2.51,Ealing,https://www.google.com/maps?q=South+Ealing+Underground+station
208,South Harrow,P,Harrow,5,28 Jun 1903,1.67,Harrow,https://www.google.com/maps?q=South+Harrow+Underground+station
209,South Kensington,ODP,Kensington and Chelsea,1,24 Dec 1868,24.33,South Kensington,https://www.google.com/maps?q=South+Kensington+Underground+station
210,South Kenton,B,Brent,4,3 Jul 1933,1.01,Kenton,https://www.google.com/maps?q=South+Kenton+Underground+station
